#  GBr_GRr          G           Gapp
    0.978983      5.18072      10.8423 
     2.94868      10.7242      16.3858 
     2.92005      11.1735      16.8351 
     2.99149      11.4184      17.0799 
     1.01395      5.49804      11.1596 
      1.9278      8.33033      13.9919 
     1.49933      6.58227      12.2439 
     0.80504      4.57831      10.2399 
     1.04095      4.75899      10.4206 
     2.93502      11.2242      16.8858 
  -0.0248022     0.927453      6.58904 
     2.87382      10.8133      16.4749 
     2.85678      10.9473      16.6089 
    0.741816      4.23254      9.89413 
     3.15638      11.2966      16.9582 
     3.38789       11.404      17.0656 
      3.0661      11.8702      17.5318 
     2.81697      11.1666      16.8282 
     3.17971      10.6189      16.2804 
   0.0969625      1.86999      7.53158 
     2.83199      10.8816      16.5432 
      2.9033      10.8717      16.5333 
     1.86775      8.09913      13.7607 
     1.34105      6.68182      12.3434 
     2.73033      14.3238      19.9854 
     2.98249      11.0378      16.6994 
     2.49668      9.24882      14.9104 
   -0.430557      10.9523      16.6139 
     3.34162       12.008      17.6696 
     2.15034      8.68264      14.3442 
      2.8421      11.0527      16.7143 
     3.10996      11.8319      17.4935 
     1.70552      7.69558      13.3572 
     1.84986      8.05449      13.7161 
     3.58639      11.8433      17.5048 
     2.90985      12.8926      18.5542 
     2.29924      9.02711      14.6887 
     2.52852       12.858      18.5196 
     2.92425      10.6198      16.2814 
     3.29641      12.9337      18.5952 
     2.70208      10.1274       15.789 
     1.06321      5.74302      11.4046 
    0.659391      3.44157      9.10316 
     2.66599      9.83615      15.4977 
     1.83477      8.03228      13.6939 
     2.53758       9.7441      15.4057 
     2.94258      10.6684        16.33 
     1.42013       6.8939      12.5555 
     3.26871      11.9331      17.5947 
     3.18008      11.0605      16.7221 
     2.83172      11.0129      16.6745 
     3.35315      12.2501      17.9117 
     2.78147      9.97799      15.6396 
     2.58283      9.76066      15.4222 
    0.828826      4.63519      10.2968 
     3.05403      11.2524       16.914 
     2.91032      10.6234       16.285 
     1.45803      7.04095      12.7025 
     2.56957      13.3122      18.9737 
     3.26267      13.2903      18.9519 
     3.07113      11.8517      17.5133 
     3.18863      10.9008      16.5624 
     2.89576       9.6684        15.33 
      2.9465      9.79429      15.4559 
     1.72522      8.15573      13.8173 
     2.97444       11.566      17.2276 
     3.02904       12.448      18.1096 
     1.38217      6.80402      12.4656 
    0.928206      5.07884      10.7404 
     3.06116      11.2849      16.9465 
     2.55085      9.53744       15.199 
     2.97426      11.5621      17.2237 
     3.31449      12.6943      18.3559 
       2.914      10.9641      16.6257 
     2.95059      11.0663      16.7279 
     3.05432        11.23      16.8916 
     1.22337       6.0719      11.7335 
     2.55577      9.76252      15.4241 
     2.88181      11.3452      17.0068 
     2.99616      11.3185      16.9801 
     2.96152      10.8681      16.5297 
     3.09952      11.3034       16.965 
     2.78413      10.1569      15.8185 
     3.17656      11.9606      17.6222 
     2.78784      10.0625      15.7241 
     2.81702      10.8375      16.4991 
  -0.0142131      0.74741        6.409 
     2.69283       12.477      18.1386 
     1.52602      7.21819      12.8798 
    0.746321       3.9249      9.58649 
     2.64373      9.96425      15.6258 
     1.33096      6.28893      11.9505 
  -0.0367703    0.0776601      5.73925 
     3.08672      11.8129      17.4745 
      3.1689       11.663      17.3246 
     2.86585      9.82403      15.4856 
     1.69259       7.6608      13.3224 
     2.47259      9.42809      15.0897 
    0.045104      1.12537      6.78696 
    0.916104      5.03549      10.6971 
     1.11758      5.92704      11.5886 
     2.41077      14.6877      20.3493 
     2.06906      12.5159      18.1775 
    0.813646      4.64128      10.3029 
     2.38711      8.62684      14.2884 
     3.34007      12.4499      18.1115 
     0.96805      5.20179      10.8634 
     2.71892      10.5782      16.2398 
     2.51766      9.44404      15.1056 
      2.2244      8.84717      14.5088 
     3.20016      12.0569      17.7185 
    0.721662      3.76672      9.42831 
     3.21305      10.5956      16.2572 
     3.41836      13.2103      18.8719 
     1.86586       14.428      20.0896 
    0.687164      3.85679      9.51838 
     1.94946      8.34768      14.0093 
     1.76099      7.12905      12.7906 
     3.21664      12.1548      17.8164 
     1.70939      7.74175      13.4033 
     2.75057      10.2632      15.9248 
     2.89465       11.108      16.7696 
     1.82019      7.95908      13.6207 
     0.84343      4.74755      10.4091 
     3.11828      11.9617      17.6233 
     1.35429      6.76152      12.4231 
     2.91646      10.6839      16.3454 
     2.77352      10.3781      16.0397 
     2.85221       10.574      16.2356 
     2.98574      11.5956      17.2572 
    0.808431      4.44022      10.1018 
     1.65156      7.59608      13.2577 
    0.623968      3.34408      9.00567 
     3.30147       11.164      16.8256 
     2.86213      13.9233      19.5849 
     3.12703      11.8913      17.5529 
     2.52745      9.66773      15.3293 
     3.01185      11.8545       17.516 
     2.74229      10.1324       15.794 
     3.06233      11.1469      16.8085 
     2.90425      10.5392      16.2008 
      3.2006      11.4162      17.0778 
      3.2838      12.9667      18.6283 
     2.89887      11.2965       16.958 
     2.49996      9.13318      14.7948 
     3.17429      11.6126      17.2742 
     2.63945        9.973      15.6346 
     3.14329      11.3927      17.0543 
     1.08285      5.64823      11.3098 
